config,trial_set,new_trial,faithfulness,answer_relevancy,context_precision,wall_seconds
hybrid_rerank_pool30,new,1,0.9446153846153846,0.6816074524791944,0.9999999999833333,79.8
hybrid_rerank_pool30,new,2,0.9592307692307692,0.6807894971935611,0.9999999999833333,70.1
hybrid_rerank_pool30,new,3,0.8715034965034965,0.8482676203744489,0.9999999999833333,57.1
hybrid_rerank_pool30,new,4,0.9690476190476189,0.8040747731646187,0.9999999999833333,60.4
hybrid_rerank_pool30,new,5,0.9511363636363637,0.8450475851365983,0.9999999999833333,62.0
hybrid_rerank_pool30,new,6,0.9131090314913844,0.8387629365364597,0.9999999999833333,62.3
hybrid_rerank_pool30,new,7,0.9133333333333333,0.8132197491305565,0.9999999999833333,63.9
hybrid_rerank_pool30,new,8,0.9245532245532246,0.8439150244196651,0.9999999999833333,65.2
hybrid_rerank_pool30,new,9,0.8647863247863248,0.8307464481380258,0.9999999999833333,67.8
hybrid_rerank_pool30,new,10,0.951048951048951,0.8409450766010599,0.9999999999833333,68.0
